"id","title","authors","price","rating","link"
1,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
2,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
3,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
4,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Manoj Kukreja, Danil Zburivsky","Not Available","No Rating","https://play.google.com/store/books/details?id=XiJEEAAAQBAJ&source=gbs_api"
5,"Fundamentals of Data Engineering","Joe Reis, Matt Housley","Not Available","No Rating","http://books.google.co.in/books?id=3qd2EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
6,"97 Things Every Data Engineer Should Know","Tobias Macey","Not Available","No Rating","https://play.google.com/store/books/details?id=ZTQzEAAAQBAJ&source=gbs_api"
7,"The Rails Way","Obie Fernandez","Not Available","No Rating","http://books.google.co.in/books?id=bSfoGQkZYcQC&dq=data+engineering&hl=&source=gbs_api"
8,"Official Google Cloud Certified Professional Data Engineer Study Guide","Dan Sullivan","Not Available","No Rating","https://play.google.com/store/books/details?id=NDXnDwAAQBAJ&source=gbs_api"
9,"Data Pipelines Pocket Reference","James Densmore","Not Available","No Rating","http://books.google.co.in/books?id=SxgcEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
10,"The Pragmatic Programmer","David Thomas, Andrew Hunt","Not Available","No Rating","https://play.google.com/store/books/details?id=LhOlDwAAQBAJ&source=gbs_api"
11,"Data-Driven Science and Engineering","Steven L. Brunton, J. Nathan Kutz","Not Available","No Rating","http://books.google.co.in/books?id=rxNkEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
12,"Azure Data Engineering Cookbook","Ahmad Osama","Not Available","No Rating","https://play.google.com/store/books/details?id=G3UjEAAAQBAJ&source=gbs_api"
13,"Data Engineering and Communication Technology","K. Ashoka Reddy, B. Rama Devi, Boby George, K. Srujan Raju","Not Available","No Rating","https://play.google.com/store/books/details?id=48wvEAAAQBAJ&source=gbs_api"
14,"Emerging Research in Data Engineering Systems and Computer Communications","P. Venkata Krishna, Mohammad S. Obaidat","Not Available","No Rating","https://play.google.com/store/books/details?id=KIvPDwAAQBAJ&source=gbs_api"
